Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Really miss daya unty...pray for come back!,UgxVJmi3bi31ZQTml094AaABAg,2,49,Really miss daya unty...pray for come back!,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Belated birthday wishes to Dilip Joshi aka Jethalal sir 🎂🎂🎂🎂,UgyjMxx-1R0NmPlkD3B4AaABAg,11,160,Belated birthday wishes to Dilip Joshi aka Jethalal sir ,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,First time Abdul bhai came to give his bill to jetha. Just to build up story,Ugxedjdh6KJETvMypOJ4AaABAg,0,42,First time Abdul bhai came to give his bill to jetha. Just to build up story,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Jethalal is best comedy in tmkoc,UgyVbL2dhndjRRa5iql4AaABAg,7,73,Jethalal is best comedy in tmkoc,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"1:33 at first i was thinking jethalal can't understand tappu's statement because of English,than i came to know that he is thinking two feet faster!🤣",Ugy6bbEGip5TczvK-154AaABAg,0,79,"1:33 at first i was thinking jethalal can't understand tappu's statement because of English,than i came to know that he is thinking two feet faster!",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,Nice show ... I am from Bangladesh...and I love this program...😍😍😍😍,UgzQVbt-gApaKkR8UcF4AaABAg,3,30,Nice show ... I am from Bangladesh...and I love this program...,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,wow nyc episode love frm nepal😍😍😍😍,UgyuJFpKCB78wZHVl7R4AaABAg,0,21,wow nyc episode love frm nepal,en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"Yeh mehengai ka problem nahi hai, chindigiri ki panning hai .. Abdul should charge extra for society extra work too",UgwNmsuOe9WK4_88TgR4AaABAg,2,52,"Yeh mehengai ka problem nahi hai, chindigiri ki panning hai .. Abdul should charge extra for society extra work too",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"Abdul always does a lot of society work for no cost.
Society members usually give 10-20 rs. extra to the rickshawala but here they are opposing Abdul for earning his true amount.
Champak chacha has no problem with Tapu spending 1000rs for just party and movie but he is crying for 5rs of Abdul.
Very illogical and shameful episode.",UgytH3xeK3uZcPRl1sZ4AaABAg,6,63,"Abdul always does a lot of society work for no cost.
Society members usually give 10-20 rs. extra to the rickshawala but here they are opposing Abdul for earning his true amount.
Champak chacha has no problem with Tapu spending 1000rs for just party and movie but he is crying for 5rs of Abdul.
Very illogical and shameful episode.",en
Sony SAB,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019",Episode 2738: The Value Of Money ------------------------------------------ Jethalal's son tries to get money out of his father by praising his chocolate-milk making skills.,83gpD0QwREc,"You all changed. Jethalal where is that word ""non sense"" and those comedy scenes of jetha and babita?? Where are those fights between bhide and jetha",UgxU68cRQ-oH6NeKGap4AaABAg,1,151,"You all changed. Jethalal where is that word ""non sense"" and those comedy scenes of jetha and babita?? Where are those fights between bhide and jetha",en
