Video ID,Comment ID,comments
83gpD0QwREc,UgyfUojMMho_HQFX9cZ4AaABAg,I  love  I  love  Taarak  Mehta  allot  it  is  my  favourite  I  really  really  really  really  really  love  Taarak  Mehta  Ka  Ooltah  Chashmah  it  is  lots  of  fun  it  is  full  of  fun  I  like  it  sometime  there  is  fight  between  everyone  and  they  also  solve  it  is  awesome  it  is  great  I  really  love  it
83gpD0QwREc,UgzVbgioiqlKt4XQ2NN4AaABAg,Please  upload  iyer  transfar  to  chennai              please  please  please  please                
83gpD0QwREc,Ugzwoi_IK122uwJNM754AaABAg,Pakistan  ma  full  epsoled  keyo  bhand  ha
83gpD0QwREc,UgxldsPV8O5sil1kjpN4AaABAg,Jethalal  my  best
83gpD0QwREc,Ugxn06z_UExGG-DvEt54AaABAg,If  old  daya  is  gone  so  where  is  new  daya
83gpD0QwREc,UgyGhwQbFECyvHYkngB4AaABAg,Is  it  only  me  or  anyone  else  who  think  new  Tapu  and  new  sonu  actually  don't  act  well        
83gpD0QwREc,UgwAlg9txqTnC2rx3294AaABAg,inflation  ke  sath  sabhki  income  bhi  to  badhti  hai  people  only  see  inflation    they  dont  see  their  income  rise
83gpD0QwREc,Ugz_v8nuBqxv8q8HBHR4AaABAg,Where  is  jethalal  wife              
83gpD0QwREc,UgxCZyFfsiPoI13OQxB4AaABAg,THE          MOST        EXPENSIVE        IS          IN            2050                          
83gpD0QwREc,UgwiZNvvhP7CRwVF0Qx4AaABAg,City  wale  log  sirf  farmar  wale  prdruct    milk    subji  tabi  paise  paise  karte  other  products  per  zuk  kar  paise  dete  he
83gpD0QwREc,Ugx_lV7dcETHV1sMWRd4AaABAg,New  episode  kyu  uplode  nhi  ho  rhe  YouTube  paI  am  waiting
83gpD0QwREc,UgyO7nWvR_RuIiZlwwd4AaABAg,bohuti  gatia  or  bakowas  episode    
83gpD0QwREc,UgwYDSD1jvnqGkXGTZd4AaABAg,bichara  abdul  only  jethalal  and  sodhi  not  angry  in  abdul
83gpD0QwREc,Ugzu8rvV4_vI19JwpVV4AaABAg,First  time  I  didn't  like  Babita    when  she  was  taunting  Sunita  vegetable  seller      At  least  think  of  how  much  these  kinda  people  in  real  word  spend  on  their  makeups    food  in  expensive  restaurants    massages    and  whatnot    mannnn        
83gpD0QwREc,UgwM8gBdxtqEOG1llIl4AaABAg,badly  written  episode    No  one  can  forget  to  inform  increase  in  price  for  straight  30  days  to  its  daily  customers  
83gpD0QwREc,UgyXd83eq7i6CFhZPSt4AaABAg,I  like  this  episode  
83gpD0QwREc,Ugyr7qdUdYyDV2lcKh14AaABAg,Love  from  nepal
83gpD0QwREc,UgzmBjMIImrWrt-Z27F4AaABAg,Abdul  se  society  ki  kaam  bhi  karwate  hoon      fir  bhi  5rs  ke  liye  kitne  drama    this  story  line  is  the  worst  that  I  have  seen  so  far    tarak  mehta  is  loved  by  millions    they  should  show  equality  amongst  people  in  society    So  what  abdul  is  a  shopkeeper      he  contributes  to  the  society    I  feel  sorry  for  him    this  show  is  getting  worst  by  the  day    Gokuldham  wale  holiday  ke  liye  Hong  Kong      Singapore  jate  hain    aur  aabhi  5rs  k  liye  itna  drama
83gpD0QwREc,Ugy-MAflAyAtQ7Xpe8J4AaABAg,now    i  have  not  seen  the  farmer  a  rich  man  while  hotels  owners  are  richer    Not  good    What  common  man  wants  is  to  reduce  the  unwanted      Not  daily  needs
83gpD0QwREc,UgzKWxColPqnwML57s54AaABAg,Alan  is    op  ki  cu  by  von  k  bolbo
83gpD0QwREc,UgwxvRxpZRKjUkTIZoZ4AaABAg,10  15  is  a  very    funny
83gpD0QwREc,UgzupCe3t39RcG1le-d4AaABAg,Thank  god  daya  is  not  coming  back  to  show  over  acting  daya      
83gpD0QwREc,UgyTtHAotT2OiG462VR4AaABAg,I  love  this  show
83gpD0QwREc,UgwNUw84qSIwMSCtAq14AaABAg,Doodh  ke  packet  pe  price  mention  hota  hai    Gokul  dham  itna  low  iqexcept  jethalal
83gpD0QwREc,UgyT9QWgLC2JMYOP11J4AaABAg,My  favourite  show  TMKOC
83gpD0QwREc,UgxXqMOM1x6grnE9bgV4AaABAg,Kitne  Paise  Chaahiye  Tujhe  Beta        Aare  Baap  Hu  Main  Tera  Beta          Really  Dilip  Ji  Iz  Great      We  Love  You  Dilip  Ji      Lots  Of  Love  For  TMKOC    
83gpD0QwREc,UgzJYWdqgCwHvymNv9V4AaABAg,I  am  great  Fan  of  Tarak  Metha  Ka  series  but  sorry  to  inform  you  that  Now  a  Days  story  is  not  too  good  please  improve  your  story
83gpD0QwREc,UgyvmCtitmFYS1Yh9ml4AaABAg,Love  from  Bangladesh      
83gpD0QwREc,UgxGIGclRCTzthdXUfh4AaABAg,I  want  27th  may  2019
83gpD0QwREc,Ugwu5YgdfGAUl8usJEp4AaABAg,Nowdays  Anjali  is  far  more  better  than  Anjali  in  looks  
83gpD0QwREc,UgzIuCmM65oPfTf2ewZ4AaABAg,Jethalal  is  best  actor
83gpD0QwREc,UgzXTF4NjTMrBtnk47p4AaABAg,Love  TMKOC  from  Kashmir
83gpD0QwREc,UgxYTI81hrwODDZ8vdt4AaABAg,Now  I  am  starting  hating  this  show    after  this  doodh  prise  increase      vikari  log  5  rupeke  liye  itna  kuch
83gpD0QwREc,UgwkNTxJtuElmlPSGyF4AaABAg,My  favorite      and  jetha  lal  is  awesome
83gpD0QwREc,UgzEtBF0EJgrXLEI-8R4AaABAg,I  don't  watch  this  show  daily        But  yeh  Tappu  Lipstick  karta  hr  kya  
83gpD0QwREc,Ugxti62a87lKJONzYul4AaABAg,Cool
83gpD0QwREc,UgzSxhvNuTMPHU42-JN4AaABAg,Only  jethalal  respect  abdul
83gpD0QwREc,UgxY7NIVperDIHpupxh4AaABAg,I  like  this  TMKOC
83gpD0QwREc,UgxMLG_c5Wr2nHem5V14AaABAg,I  liked  this  Sony  SAB  TV  drama  TMKUC  Nice    
83gpD0QwREc,UgwYV598vWqdIK2qHkF4AaABAg,Overacting  
83gpD0QwREc,UgyUvnJFSfHsTlMwNyd4AaABAg,Nehru      Congress  is  responsible  for  this  mehgai
83gpD0QwREc,UgzUtR8I2hKGE98cHY14AaABAg,I  think  they  are  over  reacting  I  guess  they  are  running  out  of  ideas
83gpD0QwREc,Ugy7__qzhELfRtB0HYt4AaABAg,So  good  and  nice
83gpD0QwREc,Ugz_J8a-3u4QViTjNlh4AaABAg,5  07  it  is  written  powder  galli  near  Film  City
83gpD0QwREc,UgzlIYpewV2kuzS0JSN4AaABAg,add  daya  otherwise  this  show  will    be  flop
83gpD0QwREc,UgxG38rEFu14PhC5cwh4AaABAg,Very  nice  the  tarak  Mehta  ka  o
83gpD0QwREc,Ugy0b3ZQMGhb4T3-eed4AaABAg,Episode  Achcha  episode  hai  mujhe  Pasand  Aaya  Bahut  Mast  bhi  hai
